Point_number	Easting 	Northing	Longitude	Latitude	Ortho_height_NAD83_2011 Ellipsoid_height	X_Accuracy	Y_Accuracy	Z_Accuracy
DP26S1A01	490487.075	4396432.711	-105.1109895	39.71771242	1699.738	1683.329	0.024	0.024	0.034
DP26S1A02	490453.75	4396427.914	-105.1113782	39.71766882	1699.805	1683.399	0.024	0.024	0.034
DP26S1A03	490413.636	4396477.163	-105.1118469	39.71811212	1700.625	1684.221	0.024	0.024	0.034
DP26S1A04	490421.692	4396506.006	-105.1117534	39.71837210	1703.808	1687.403	0.024	0.024	0.034
DP26S1A05	490393.12	4396589.647	-105.1120879	39.71912540	1701.058	1684.655	0.024	0.024	0.034
DP26S1A06	490447.806	4396594.472	-105.1114500	39.71916948	1699.288	1682.880	0.024	0.024	0.034
DP26S1A07	490438.969	4396538.411	-105.1115523	39.71866427	1700.176	1683.769	0.024	0.024	0.034
DP26S1A08	490485.951	4396489.083	-105.1110034	39.71822033	1696.65		1680.241	0.024	0.024	0.034
DP26S1A09	490502.311	4396458.047	-105.1108121	39.71794087	1699.74		1683.330	0.024	0.024	0.034
DP26S1A10	0	0	0	0	0	0	0.024	0.024	0.034
DP26S2A01	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A02	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A03	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A04	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A05	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A06	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A07	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A08	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A09	0	0	0	0	0	0	0.01	0.01	0.02
DP26S2A10	0	0	0	0	0	0	0.01	0.01	0.02
